;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;QPLIB_3650.qs;946;0.00273657;908;554.02s;920;920;12;1.3043478260869565;1;
1;QPLIB_3650.qs;946;0.00273657;912;557.70s;920;920;8;0.8695652173913043;2;
2;QPLIB_3650.qs;946;0.00273657;904;568.41s;920;920;16;1.7391304347826086;3;
3;QPLIB_3650.qs;946;0.00273657;906;540.58s;920;920;14;1.5217391304347827;4;
4;QPLIB_3650.qs;946;0.00273657;914;582.94s;920;920;6;0.6521739130434783;5;
5;QPLIB_3650.qs;946;0.00273657;912;571.04s;920;920;8;0.8695652173913043;6;
6;QPLIB_3650.qs;946;0.00273657;908;564.45s;920;920;12;1.3043478260869565;7;
7;QPLIB_3650.qs;946;0.00273657;916;555.01s;920;920;4;0.43478260869565216;8;
8;QPLIB_3650.qs;946;0.00273657;914;576.18s;920;920;6;0.6521739130434783;9;
9;QPLIB_3650.qs;946;0.00273657;910;583.59s;920;920;10;1.0869565217391304;10;
10;QPLIB_3650.qs;946;0.00273657;918;560.16s;920;920;2;0.21739130434782608;11;
11;QPLIB_3650.qs;946;0.00273657;912;588.61s;920;920;8;0.8695652173913043;12;
12;QPLIB_3650.qs;946;0.00273657;914;577.63s;920;920;6;0.6521739130434783;13;
13;QPLIB_3650.qs;946;0.00273657;912;560.37s;920;920;8;0.8695652173913043;14;
14;QPLIB_3650.qs;946;0.00273657;912;576.13s;920;920;8;0.8695652173913043;15;
15;QPLIB_3650.qs;946;0.00273657;916;573.75s;920;920;4;0.43478260869565216;16;
16;QPLIB_3650.qs;946;0.00273657;914;581.57s;920;920;6;0.6521739130434783;17;
17;QPLIB_3650.qs;946;0.00273657;906;571.20s;920;920;14;1.5217391304347827;18;
18;QPLIB_3650.qs;946;0.00273657;910;565.82s;920;920;10;1.0869565217391304;19;
19;QPLIB_3650.qs;946;0.00273657;910;562.01s;920;920;10;1.0869565217391304;20;
20;QPLIB_3650.qs;946;0.00273657;918;566.70s;920;920;2;0.21739130434782608;21;
21;QPLIB_3650.qs;946;0.00273657;914;578.06s;920;920;6;0.6521739130434783;22;
22;QPLIB_3650.qs;946;0.00273657;914;581.60s;920;920;6;0.6521739130434783;23;
23;QPLIB_3650.qs;946;0.00273657;906;585.28s;920;920;14;1.5217391304347827;24;
24;QPLIB_3650.qs;946;0.00273657;910;567.90s;920;920;10;1.0869565217391304;25;
25;QPLIB_3650.qs;946;0.00273657;910;556.91s;920;920;10;1.0869565217391304;26;
26;QPLIB_3650.qs;946;0.00273657;910;580.61s;920;920;10;1.0869565217391304;27;
27;QPLIB_3650.qs;946;0.00273657;908;545.63s;920;920;12;1.3043478260869565;28;
28;QPLIB_3650.qs;946;0.00273657;914;569.29s;920;920;6;0.6521739130434783;29;
29;QPLIB_3650.qs;946;0.00273657;914;568.42s;920;920;6;0.6521739130434783;30;
30;QPLIB_3650.qs;946;0.00273657;912;571.03s;920;920;8;0.8695652173913043;31;
31;QPLIB_3650.qs;946;0.00273657;918;554.07s;920;920;2;0.21739130434782608;32;
32;QPLIB_3650.qs;946;0.00273657;920;597.93s;920;920;0;0.0;33;597.877598
33;QPLIB_3650.qs;946;0.00273657;914;571.60s;920;920;6;0.6521739130434783;34;
34;QPLIB_3650.qs;946;0.00273657;912;591.00s;920;920;8;0.8695652173913043;35;
35;QPLIB_3650.qs;946;0.00273657;910;571.42s;920;920;10;1.0869565217391304;36;
36;QPLIB_3650.qs;946;0.00273657;910;570.55s;920;920;10;1.0869565217391304;37;
37;QPLIB_3650.qs;946;0.00273657;910;585.85s;920;920;10;1.0869565217391304;38;
38;QPLIB_3650.qs;946;0.00273657;910;569.98s;920;920;10;1.0869565217391304;39;
39;QPLIB_3650.qs;946;0.00273657;910;569.69s;920;920;10;1.0869565217391304;40;
40;QPLIB_3650.qs;946;0.00273657;918;572.16s;920;920;2;0.21739130434782608;41;
41;QPLIB_3650.qs;946;0.00273657;912;562.86s;920;920;8;0.8695652173913043;42;
42;QPLIB_3650.qs;946;0.00273657;914;595.09s;920;920;6;0.6521739130434783;43;
43;QPLIB_3650.qs;946;0.00273657;914;571.15s;920;920;6;0.6521739130434783;44;
44;QPLIB_3650.qs;946;0.00273657;912;571.61s;920;920;8;0.8695652173913043;45;
45;QPLIB_3650.qs;946;0.00273657;908;562.50s;920;920;12;1.3043478260869565;46;
46;QPLIB_3650.qs;946;0.00273657;916;574.55s;920;920;4;0.43478260869565216;47;
47;QPLIB_3650.qs;946;0.00273657;912;560.12s;920;920;8;0.8695652173913043;48;
48;QPLIB_3650.qs;946;0.00273657;906;575.10s;920;920;14;1.5217391304347827;49;
49;QPLIB_3650.qs;946;0.00273657;910;564.89s;920;920;10;1.0869565217391304;50;
50;QPLIB_3650.qs;946;0.00273657;912;550.22s;920;920;8;0.8695652173913043;51;
51;QPLIB_3650.qs;946;0.00273657;912;555.94s;920;920;8;0.8695652173913043;52;
52;QPLIB_3650.qs;946;0.00273657;910;587.20s;920;920;10;1.0869565217391304;53;
