;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;SA;QPLIB_3850.qs;1;1;1182.0;1182.0;374.275159;374.275159;1190.0
1;SA;QPLIB_3850.qs;2;1;1168.0;1168.0;280.591998;280.591998;1190.0
2;SA;QPLIB_3850.qs;2;2;1172.0;1172.0;150.094432;430.68643;1190.0
3;SA;QPLIB_3850.qs;3;1;1170.0;1170.0;327.408471;327.408471;1190.0
4;SA;QPLIB_3850.qs;4;1;1180.0;1180.0;302.105499;302.105499;1190.0
5;SA;QPLIB_3850.qs;5;1;1184.0;1184.0;454.166363;454.166363;1190.0
6;SA;QPLIB_3850.qs;6;1;1174.0;1174.0;365.043318;365.043318;1190.0
7;SA;QPLIB_3850.qs;7;1;1176.0;1176.0;360.662051;360.662051;1190.0
8;SA;QPLIB_3850.qs;8;1;1190.0;1190.0;434.805409;434.805409;1190.0
9;SA;QPLIB_3850.qs;9;1;1184.0;1184.0;369.144935;369.144935;1190.0
10;SA;QPLIB_3850.qs;10;1;1178.0;1178.0;322.875049;322.875049;1190.0
11;SA;QPLIB_3850.qs;11;1;1168.0;1168.0;265.627879;265.627879;1190.0
12;SA;QPLIB_3850.qs;11;2;1174.0;1174.0;93.561181;359.18906000000004;1190.0
13;SA;QPLIB_3850.qs;11;3;1174.0;1174.0;45.826628;405.015688;1190.0
14;SA;QPLIB_3850.qs;11;4;1176.0;1176.0;81.150923;486.166611;1190.0
15;SA;QPLIB_3850.qs;12;1;1166.0;1166.0;270.514378;270.514378;1190.0
16;SA;QPLIB_3850.qs;12;2;1178.0;1178.0;151.611194;422.12557200000003;1190.0
17;SA;QPLIB_3850.qs;13;1;1182.0;1182.0;358.643451;358.643451;1190.0
18;SA;QPLIB_3850.qs;14;1;1178.0;1178.0;268.82029;268.82029;1190.0
19;SA;QPLIB_3850.qs;14;2;1178.0;1178.0;49.67537;318.49566;1190.0
20;SA;QPLIB_3850.qs;14;3;1178.0;1178.0;52.45249;370.94815;1190.0
21;SA;QPLIB_3850.qs;14;4;1178.0;1178.0;51.278489;422.226639;1190.0
22;SA;QPLIB_3850.qs;14;5;1180.0;1180.0;100.890673;523.117312;1190.0
23;SA;QPLIB_3850.qs;15;1;1182.0;1182.0;299.282281;299.282281;1190.0
24;SA;QPLIB_3850.qs;15;2;1184.0;1184.0;94.685685;393.96796600000005;1190.0
25;SA;QPLIB_3850.qs;15;3;1184.0;1184.0;55.703672;449.67163800000003;1190.0
26;SA;QPLIB_3850.qs;15;4;1184.0;1184.0;54.550951;504.222589;1190.0
27;SA;QPLIB_3850.qs;16;1;1186.0;1186.0;365.057523;365.057523;1190.0
28;SA;QPLIB_3850.qs;17;1;1182.0;1182.0;395.153357;395.153357;1190.0
29;SA;QPLIB_3850.qs;18;1;1182.0;1182.0;369.72743;369.72743;1190.0
30;SA;QPLIB_3850.qs;19;1;1188.0;1188.0;343.674657;343.674657;1190.0
31;SA;QPLIB_3850.qs;20;1;1170.0;1170.0;318.525875;318.525875;1190.0
32;SA;QPLIB_3850.qs;21;1;1164.0;1164.0;365.591522;365.591522;1190.0
33;SA;QPLIB_3850.qs;22;1;1176.0;1176.0;382.259878;382.259878;1190.0
34;SA;QPLIB_3850.qs;23;1;1178.0;1178.0;342.725169;342.725169;1190.0
35;SA;QPLIB_3850.qs;24;1;1176.0;1176.0;430.295317;430.295317;1190.0
36;SA;QPLIB_3850.qs;25;1;1162.0;1162.0;229.912955;229.912955;1190.0
37;SA;QPLIB_3850.qs;25;2;1180.0;1180.0;176.705245;406.6182;1190.0
38;SA;QPLIB_3850.qs;26;1;1174.0;1174.0;326.061031;326.061031;1190.0
39;SA;QPLIB_3850.qs;27;1;1176.0;1176.0;335.081254;335.081254;1190.0
40;SA;QPLIB_3850.qs;28;1;1166.0;1166.0;304.518598;304.518598;1190.0
41;SA;QPLIB_3850.qs;29;1;1174.0;1174.0;402.671118;402.671118;1190.0
42;SA;QPLIB_3850.qs;30;1;1184.0;1184.0;395.332226;395.332226;1190.0
43;SA;QPLIB_3850.qs;31;1;1178.0;1178.0;315.06428;315.06428;1190.0
44;SA;QPLIB_3850.qs;32;1;1170.0;1170.0;237.05095;237.05095;1190.0
45;SA;QPLIB_3850.qs;32;2;1180.0;1180.0;116.690444;353.741394;1190.0
46;SA;QPLIB_3850.qs;32;3;1182.0;1182.0;101.18459;454.92598399999997;1190.0
47;SA;QPLIB_3850.qs;33;1;1160.0;1160.0;275.965058;275.965058;1190.0
48;SA;QPLIB_3850.qs;33;2;1166.0;1166.0;132.707961;408.673019;1190.0
49;SA;QPLIB_3850.qs;34;1;1176.0;1176.0;387.286049;387.286049;1190.0
50;SA;QPLIB_3850.qs;35;1;1174.0;1174.0;334.77229;334.77229;1190.0
51;SA;QPLIB_3850.qs;36;1;1170.0;1170.0;357.729756;357.729756;1190.0
52;SA;QPLIB_3850.qs;37;1;1176.0;1176.0;352.310273;352.310273;1190.0
53;SA;QPLIB_3850.qs;38;1;1180.0;1180.0;315.943992;315.943992;1190.0
54;SA;QPLIB_3850.qs;39;1;1184.0;1184.0;427.96137;427.96137;1190.0
55;SA;QPLIB_3850.qs;40;1;1176.0;1176.0;442.60261;442.60261;1190.0
56;SA;QPLIB_3850.qs;41;1;1186.0;1186.0;333.62595;333.62595;1190.0
57;SA;QPLIB_3850.qs;42;1;1180.0;1180.0;322.65859;322.65859;1190.0
58;SA;QPLIB_3850.qs;43;1;1182.0;1182.0;317.207884;317.207884;1190.0
