;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;MSTS;QPLIB_3642.qs;1;1;864.0;864.0;14.379561;14.379561;1034.0
1;MSTS;QPLIB_3642.qs;1;2;892.0;892.0;12.724652;27.104213;1034.0
2;MSTS;QPLIB_3642.qs;1;3;904.0;904.0;12.235607;39.33982;1034.0
3;MSTS;QPLIB_3642.qs;1;4;892.0;904.0;11.713142;51.052962;1034.0
4;MSTS;QPLIB_3642.qs;1;5;914.0;914.0;11.752074;62.805036;1034.0
5;MSTS;QPLIB_3642.qs;1;6;926.0;926.0;11.734965;74.540001;1034.0
6;MSTS;QPLIB_3642.qs;1;7;916.0;926.0;11.673346;86.213347;1034.0
7;MSTS;QPLIB_3642.qs;1;8;924.0;926.0;11.750381;97.963728;1034.0
8;MSTS;QPLIB_3642.qs;1;9;922.0;926.0;11.734379;109.69810700000001;1034.0
9;MSTS;QPLIB_3642.qs;1;10;924.0;926.0;12.165195;121.863302;1034.0
10;MSTS;QPLIB_3642.qs;1;11;932.0;932.0;11.741119;133.604421;1034.0
11;MSTS;QPLIB_3642.qs;1;12;920.0;932.0;11.673465;145.277886;1034.0
12;MSTS;QPLIB_3642.qs;1;13;920.0;932.0;11.753688;157.031574;1034.0
13;MSTS;QPLIB_3642.qs;1;14;914.0;932.0;11.715148;168.746722;1034.0
14;MSTS;QPLIB_3642.qs;1;15;914.0;932.0;11.668767;180.415489;1034.0
15;MSTS;QPLIB_3642.qs;1;16;920.0;932.0;12.000093;192.415582;1034.0
16;MSTS;QPLIB_3642.qs;1;17;908.0;932.0;11.820215;204.235797;1034.0
17;MSTS;QPLIB_3642.qs;1;18;924.0;932.0;12.041704;216.277501;1034.0
18;MSTS;QPLIB_3642.qs;1;19;912.0;932.0;11.716243;227.993744;1034.0
19;MSTS;QPLIB_3642.qs;1;20;912.0;932.0;11.963545;239.957289;1034.0
20;MSTS;QPLIB_3642.qs;1;21;936.0;936.0;11.759372;251.71666100000002;1034.0
21;MSTS;QPLIB_3642.qs;1;22;928.0;936.0;11.81514;263.53180100000003;1034.0
22;MSTS;QPLIB_3642.qs;1;23;932.0;936.0;11.744129;275.27593;1034.0
23;MSTS;QPLIB_3642.qs;1;24;922.0;936.0;11.752236;287.028166;1034.0
24;MSTS;QPLIB_3642.qs;1;25;930.0;936.0;11.730285;298.758451;1034.0
25;MSTS;QPLIB_3642.qs;1;26;916.0;936.0;11.736894;310.495345;1034.0
26;MSTS;QPLIB_3642.qs;1;27;918.0;936.0;11.66036;322.155705;1034.0
27;MSTS;QPLIB_3642.qs;1;28;936.0;936.0;11.757887;333.913592;1034.0
28;MSTS;QPLIB_3642.qs;1;29;916.0;936.0;11.676132;345.589724;1034.0
29;MSTS;QPLIB_3642.qs;1;30;932.0;936.0;12.483916;358.07364;1034.0
30;MSTS;QPLIB_3642.qs;1;31;918.0;936.0;11.670472;369.74411200000003;1034.0
31;MSTS;QPLIB_3642.qs;1;32;920.0;936.0;11.792049;381.536161;1034.0
32;MSTS;QPLIB_3642.qs;1;33;912.0;936.0;11.678542;393.214703;1034.0
33;MSTS;QPLIB_3642.qs;1;34;924.0;936.0;11.64611;404.860813;1034.0
34;MSTS;QPLIB_3642.qs;1;35;934.0;936.0;11.769233;416.630046;1034.0
35;MSTS;QPLIB_3642.qs;1;36;936.0;936.0;11.817864;428.44791;1034.0
36;MSTS;QPLIB_3642.qs;1;37;920.0;936.0;11.723892;440.171802;1034.0
37;MSTS;QPLIB_3642.qs;1;38;916.0;936.0;11.892058;452.06386;1034.0
38;MSTS;QPLIB_3642.qs;1;39;916.0;936.0;11.748552;463.812412;1034.0
39;MSTS;QPLIB_3642.qs;1;40;910.0;936.0;11.941016;475.753428;1034.0
40;MSTS;QPLIB_3642.qs;1;41;926.0;936.0;11.809065;487.562493;1034.0
41;MSTS;QPLIB_3642.qs;1;42;918.0;936.0;11.740553;499.303046;1034.0
42;MSTS;QPLIB_3642.qs;1;43;910.0;936.0;11.778502;511.081548;1034.0
43;MSTS;QPLIB_3642.qs;1;44;908.0;936.0;11.703297;522.784845;1034.0
44;MSTS;QPLIB_3642.qs;1;45;904.0;936.0;11.820766;534.605611;1034.0
45;MSTS;QPLIB_3642.qs;1;46;908.0;936.0;11.719318;546.324929;1034.0
46;MSTS;QPLIB_3642.qs;1;47;920.0;936.0;11.772163;558.097092;1034.0
47;MSTS;QPLIB_3642.qs;1;48;938.0;938.0;11.80593;569.903022;1034.0
48;MSTS;QPLIB_3642.qs;1;49;934.0;938.0;11.970172;581.873194;1034.0
49;MSTS;QPLIB_3642.qs;1;50;940.0;940.0;11.711689;593.584883;1034.0
50;MSTS;QPLIB_3642.qs;2;1;890.0;890.0;13.798115;13.798115;1034.0
51;MSTS;QPLIB_3642.qs;2;2;898.0;898.0;11.668168;25.466282999999997;1034.0
52;MSTS;QPLIB_3642.qs;2;3;900.0;900.0;11.703531;37.169814;1034.0
53;MSTS;QPLIB_3642.qs;2;4;900.0;900.0;12.211092;49.380905999999996;1034.0
54;MSTS;QPLIB_3642.qs;2;5;906.0;906.0;11.972461;61.353367;1034.0
55;MSTS;QPLIB_3642.qs;2;6;924.0;924.0;12.465313;73.81868;1034.0
