;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;MSTS;QPLIB_5875.qs;1;1;43757.0;43757.0;0.453931;0.453931;43757.0
1;MSTS;QPLIB_5875.qs;1;2;43757.0;43757.0;0.384634;0.838565;43757.0
2;MSTS;QPLIB_5875.qs;1;3;43757.0;43757.0;0.376951;1.215516;43757.0
3;MSTS;QPLIB_5875.qs;1;4;43757.0;43757.0;0.372699;1.588215;43757.0
4;MSTS;QPLIB_5875.qs;1;5;43757.0;43757.0;0.40951;1.997725;43757.0
5;MSTS;QPLIB_5875.qs;1;6;43735.0;43757.0;0.259181;2.256906;43757.0
6;MSTS;QPLIB_5875.qs;1;7;43757.0;43757.0;0.258574;2.51548;43757.0
7;MSTS;QPLIB_5875.qs;1;8;43757.0;43757.0;0.407146;2.922626;43757.0
8;MSTS;QPLIB_5875.qs;1;9;43757.0;43757.0;0.323585;3.2462109999999997;43757.0
9;MSTS;QPLIB_5875.qs;1;10;43757.0;43757.0;0.281484;3.527695;43757.0
10;MSTS;QPLIB_5875.qs;1;11;43757.0;43757.0;0.345507;3.873202;43757.0
11;MSTS;QPLIB_5875.qs;1;12;43757.0;43757.0;0.28098;4.154182;43757.0
12;MSTS;QPLIB_5875.qs;1;13;43735.0;43757.0;0.288738;4.44292;43757.0
13;MSTS;QPLIB_5875.qs;1;14;43735.0;43757.0;0.297451;4.740371;43757.0
14;MSTS;QPLIB_5875.qs;1;15;43757.0;43757.0;0.424182;5.164553;43757.0
15;MSTS;QPLIB_5875.qs;1;16;43757.0;43757.0;0.260089;5.424642;43757.0
16;MSTS;QPLIB_5875.qs;1;17;43757.0;43757.0;0.313863;5.738505;43757.0
17;MSTS;QPLIB_5875.qs;1;18;43757.0;43757.0;0.292645;6.03115;43757.0
18;MSTS;QPLIB_5875.qs;1;19;43757.0;43757.0;0.289562;6.320712;43757.0
19;MSTS;QPLIB_5875.qs;1;20;43757.0;43757.0;0.447765;6.768477;43757.0
20;MSTS;QPLIB_5875.qs;1;21;43735.0;43757.0;0.281182;7.049659;43757.0
21;MSTS;QPLIB_5875.qs;1;22;43757.0;43757.0;0.334227;7.383886;43757.0
22;MSTS;QPLIB_5875.qs;1;23;43735.0;43757.0;0.270781;7.654667;43757.0
23;MSTS;QPLIB_5875.qs;1;24;43757.0;43757.0;0.258662;7.913329;43757.0
24;MSTS;QPLIB_5875.qs;1;25;43757.0;43757.0;0.415463;8.328792;43757.0
25;MSTS;QPLIB_5875.qs;1;26;43735.0;43757.0;0.274036;8.602828;43757.0
26;MSTS;QPLIB_5875.qs;1;27;43757.0;43757.0;0.269679;8.872507;43757.0
27;MSTS;QPLIB_5875.qs;1;28;43757.0;43757.0;0.384398;9.256905;43757.0
28;MSTS;QPLIB_5875.qs;1;29;43757.0;43757.0;0.282624;9.539529;43757.0
29;MSTS;QPLIB_5875.qs;1;30;43735.0;43757.0;0.267708;9.807237;43757.0
30;MSTS;QPLIB_5875.qs;1;31;43757.0;43757.0;0.292892;10.100129;43757.0
