;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;QPLIB_3706.qs;703;0.00364623;674;590.34s;682;682;8;1.1730205278592376;1;
1;QPLIB_3706.qs;703;0.00364623;676;593.08s;682;682;6;0.8797653958944283;2;
2;QPLIB_3706.qs;703;0.00364623;676;590.41s;682;682;6;0.8797653958944283;3;
3;QPLIB_3706.qs;703;0.00364623;680;589.11s;682;682;2;0.2932551319648094;4;
4;QPLIB_3706.qs;703;0.00364623;676;597.10s;682;682;6;0.8797653958944283;5;
5;QPLIB_3706.qs;703;0.00364623;670;596.08s;682;682;12;1.7595307917888565;6;
6;QPLIB_3706.qs;703;0.00364623;678;589.99s;682;682;4;0.5865102639296188;7;
7;QPLIB_3706.qs;703;0.00364623;672;591.03s;682;682;10;1.466275659824047;8;
8;QPLIB_3706.qs;703;0.00364623;668;594.25s;682;682;14;2.0527859237536656;9;
9;QPLIB_3706.qs;703;0.00364623;672;591.32s;682;682;10;1.466275659824047;10;
10;QPLIB_3706.qs;703;0.00364623;676;591.53s;682;682;6;0.8797653958944283;11;
11;QPLIB_3706.qs;703;0.00364623;672;593.00s;682;682;10;1.466275659824047;12;
12;QPLIB_3706.qs;703;0.00364623;676;596.58s;682;682;6;0.8797653958944283;13;
13;QPLIB_3706.qs;703;0.00364623;674;593.29s;682;682;8;1.1730205278592376;14;
14;QPLIB_3706.qs;703;0.00364623;680;592.43s;682;682;2;0.2932551319648094;15;
15;QPLIB_3706.qs;703;0.00364623;676;596.11s;682;682;6;0.8797653958944283;16;
16;QPLIB_3706.qs;703;0.00364623;672;594.16s;682;682;10;1.466275659824047;17;
17;QPLIB_3706.qs;703;0.00364623;676;591.72s;682;682;6;0.8797653958944283;18;
18;QPLIB_3706.qs;703;0.00364623;672;593.93s;682;682;10;1.466275659824047;19;
19;QPLIB_3706.qs;703;0.00364623;682;592.37s;682;682;0;0.0;20;450.670881
20;QPLIB_3706.qs;703;0.00364623;674;590.31s;682;682;8;1.1730205278592376;21;
21;QPLIB_3706.qs;703;0.00364623;672;594.39s;682;682;10;1.466275659824047;22;
22;QPLIB_3706.qs;703;0.00364623;676;593.07s;682;682;6;0.8797653958944283;23;
23;QPLIB_3706.qs;703;0.00364623;676;593.50s;682;682;6;0.8797653958944283;24;
24;QPLIB_3706.qs;703;0.00364623;676;589.59s;682;682;6;0.8797653958944283;25;
25;QPLIB_3706.qs;703;0.00364623;676;590.49s;682;682;6;0.8797653958944283;26;
26;QPLIB_3706.qs;703;0.00364623;674;598.25s;682;682;8;1.1730205278592376;27;
27;QPLIB_3706.qs;703;0.00364623;680;591.04s;682;682;2;0.2932551319648094;28;
28;QPLIB_3706.qs;703;0.00364623;680;591.94s;682;682;2;0.2932551319648094;29;
29;QPLIB_3706.qs;703;0.00364623;680;596.66s;682;682;2;0.2932551319648094;30;
