;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;SA;QPLIB_3706.qs;1;1;658.0;658.0;42.26916;42.26916;682.0
1;SA;QPLIB_3706.qs;1;2;660.0;660.0;13.038936;55.308096;682.0
2;SA;QPLIB_3706.qs;1;3;664.0;664.0;25.667286;80.975382;682.0
3;SA;QPLIB_3706.qs;1;4;664.0;664.0;11.455494;92.430876;682.0
4;SA;QPLIB_3706.qs;1;5;666.0;666.0;17.521686;109.952562;682.0
5;SA;QPLIB_3706.qs;1;6;670.0;670.0;18.510987;128.463549;682.0
6;SA;QPLIB_3706.qs;1;7;672.0;672.0;14.831804;143.295353;682.0
7;SA;QPLIB_3706.qs;1;8;672.0;672.0;10.288487;153.58384;682.0
8;SA;QPLIB_3706.qs;1;9;672.0;672.0;10.2833;163.86714;682.0
9;SA;QPLIB_3706.qs;1;10;672.0;672.0;10.512842;174.379982;682.0
10;SA;QPLIB_3706.qs;1;11;672.0;672.0;10.389809;184.769791;682.0
11;SA;QPLIB_3706.qs;1;12;672.0;672.0;10.334352;195.104143;682.0
12;SA;QPLIB_3706.qs;1;13;672.0;672.0;10.315426;205.419569;682.0
13;SA;QPLIB_3706.qs;1;14;672.0;672.0;10.150303;215.569872;682.0
14;SA;QPLIB_3706.qs;1;15;672.0;672.0;10.147812;225.717684;682.0
15;SA;QPLIB_3706.qs;1;16;672.0;672.0;10.247876;235.96556;682.0
16;SA;QPLIB_3706.qs;1;17;674.0;674.0;16.43038;252.39594;682.0
17;SA;QPLIB_3706.qs;1;18;674.0;674.0;9.087146;261.483086;682.0
18;SA;QPLIB_3706.qs;1;19;674.0;674.0;9.237947;270.721033;682.0
19;SA;QPLIB_3706.qs;1;20;674.0;674.0;9.199651;279.920684;682.0
20;SA;QPLIB_3706.qs;1;21;674.0;674.0;9.253935;289.174619;682.0
21;SA;QPLIB_3706.qs;1;22;674.0;674.0;9.092954;298.267573;682.0
22;SA;QPLIB_3706.qs;1;23;674.0;674.0;9.127751;307.395324;682.0
23;SA;QPLIB_3706.qs;1;24;674.0;674.0;8.930596;316.32592;682.0
24;SA;QPLIB_3706.qs;1;25;674.0;674.0;9.075507;325.401427;682.0
25;SA;QPLIB_3706.qs;1;26;674.0;674.0;8.558415;333.959842;682.0
26;SA;QPLIB_3706.qs;1;27;674.0;674.0;8.287746;342.247588;682.0
