;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;QPLIB_5909.qs;250;0.048624;35726;43.26s;35726;35726;0;0.0;1;0.703393
1;QPLIB_5909.qs;250;0.048624;35726;44.33s;35726;35726;0;0.0;2;0.663587
2;QPLIB_5909.qs;250;0.048624;35726;43.08s;35726;35726;0;0.0;3;0.640767
3;QPLIB_5909.qs;250;0.048624;35726;43.88s;35726;35726;0;0.0;4;0.749138
4;QPLIB_5909.qs;250;0.048624;35726;44.49s;35726;35726;0;0.0;5;0.750931
5;QPLIB_5909.qs;250;0.048624;35726;45.21s;35726;35726;0;0.0;6;0.754129
6;QPLIB_5909.qs;250;0.048624;35726;45.23s;35726;35726;0;0.0;7;0.731482
7;QPLIB_5909.qs;250;0.048624;35726;44.79s;35726;35726;0;0.0;8;0.620014
8;QPLIB_5909.qs;250;0.048624;35726;43.67s;35726;35726;0;0.0;9;0.89399
9;QPLIB_5909.qs;250;0.048624;35726;45.19s;35726;35726;0;0.0;10;0.70933
10;QPLIB_5909.qs;250;0.048624;35726;44.58s;35726;35726;0;0.0;11;0.688413
11;QPLIB_5909.qs;250;0.048624;35726;43.64s;35726;35726;0;0.0;12;0.672593
12;QPLIB_5909.qs;250;0.048624;35726;44.46s;35726;35726;0;0.0;13;0.847841
13;QPLIB_5909.qs;250;0.048624;35726;45.13s;35726;35726;0;0.0;14;0.739221
14;QPLIB_5909.qs;250;0.048624;35726;44.35s;35726;35726;0;0.0;15;0.790985
15;QPLIB_5909.qs;250;0.048624;35726;44.79s;35726;35726;0;0.0;16;0.704371
16;QPLIB_5909.qs;250;0.048624;35726;45.42s;35726;35726;0;0.0;17;0.738085
17;QPLIB_5909.qs;250;0.048624;35726;43.79s;35726;35726;0;0.0;18;0.626739
18;QPLIB_5909.qs;250;0.048624;35726;44.70s;35726;35726;0;0.0;19;0.809924
19;QPLIB_5909.qs;250;0.048624;35726;45.20s;35726;35726;0;0.0;20;0.77378
20;QPLIB_5909.qs;250;0.048624;35726;45.00s;35726;35726;0;0.0;21;0.753553
21;QPLIB_5909.qs;250;0.048624;35726;44.94s;35726;35726;0;0.0;22;0.858546
22;QPLIB_5909.qs;250;0.048624;35726;45.05s;35726;35726;0;0.0;23;0.840093
23;QPLIB_5909.qs;250;0.048624;35726;43.37s;35726;35726;0;0.0;24;0.656903
24;QPLIB_5909.qs;250;0.048624;35726;46.48s;35726;35726;0;0.0;25;0.796749
25;QPLIB_5909.qs;250;0.048624;35726;44.65s;35726;35726;0;0.0;26;0.801578
26;QPLIB_5909.qs;250;0.048624;35726;44.26s;35726;35726;0;0.0;27;0.652388
27;QPLIB_5909.qs;250;0.048624;35726;45.51s;35726;35726;0;0.0;28;0.765476
28;QPLIB_5909.qs;250;0.048624;35726;45.04s;35726;35726;0;0.0;29;0.777132
29;QPLIB_5909.qs;250;0.048624;35726;44.92s;35726;35726;0;0.0;30;0.691585
30;QPLIB_5909.qs;250;0.048624;35726;45.10s;35726;35726;0;0.0;31;0.712025
31;QPLIB_5909.qs;250;0.048624;35726;44.34s;35726;35726;0;0.0;32;0.877878
32;QPLIB_5909.qs;250;0.048624;35726;44.20s;35726;35726;0;0.0;33;1.018894
33;QPLIB_5909.qs;250;0.048624;35726;44.17s;35726;35726;0;0.0;34;0.662803
34;QPLIB_5909.qs;250;0.048624;35726;44.86s;35726;35726;0;0.0;35;0.718535
35;QPLIB_5909.qs;250;0.048624;35726;44.11s;35726;35726;0;0.0;36;0.639306
36;QPLIB_5909.qs;250;0.048624;35726;44.90s;35726;35726;0;0.0;37;0.729768
37;QPLIB_5909.qs;250;0.048624;35726;43.25s;35726;35726;0;0.0;38;0.629859
38;QPLIB_5909.qs;250;0.048624;35726;43.96s;35726;35726;0;0.0;39;0.833716
39;QPLIB_5909.qs;250;0.048624;35726;43.98s;35726;35726;0;0.0;40;0.636676
40;QPLIB_5909.qs;250;0.048624;35726;44.87s;35726;35726;0;0.0;41;0.738752
41;QPLIB_5909.qs;250;0.048624;35726;46.46s;35726;35726;0;0.0;42;0.831375
42;QPLIB_5909.qs;250;0.048624;35726;45.40s;35726;35726;0;0.0;43;0.640603
43;QPLIB_5909.qs;250;0.048624;35726;43.91s;35726;35726;0;0.0;44;0.632287
44;QPLIB_5909.qs;250;0.048624;35726;44.58s;35726;35726;0;0.0;45;0.696993
45;QPLIB_5909.qs;250;0.048624;35726;45.42s;35726;35726;0;0.0;46;0.615651
46;QPLIB_5909.qs;250;0.048624;35726;44.73s;35726;35726;0;0.0;47;0.779447
47;QPLIB_5909.qs;250;0.048624;35726;44.81s;35726;35726;0;0.0;48;0.731508
48;QPLIB_5909.qs;250;0.048624;35726;44.45s;35726;35726;0;0.0;49;0.920408
49;QPLIB_5909.qs;250;0.048624;35726;44.74s;35726;35726;0;0.0;50;0.624352
50;QPLIB_5909.qs;250;0.048624;35726;44.72s;35726;35726;0;0.0;51;0.631299
51;QPLIB_5909.qs;250;0.048624;35726;44.24s;35726;35726;0;0.0;52;0.690956
52;QPLIB_5909.qs;250;0.048624;35726;44.42s;35726;35726;0;0.0;53;0.739095
53;QPLIB_5909.qs;250;0.048624;35726;44.42s;35726;35726;0;0.0;54;0.730863
54;QPLIB_5909.qs;250;0.048624;35726;44.18s;35726;35726;0;0.0;55;0.917227
55;QPLIB_5909.qs;250;0.048624;35726;44.16s;35726;35726;0;0.0;56;0.729364
56;QPLIB_5909.qs;250;0.048624;35726;44.97s;35726;35726;0;0.0;57;0.807601
57;QPLIB_5909.qs;250;0.048624;35726;44.47s;35726;35726;0;0.0;58;0.624525
58;QPLIB_5909.qs;250;0.048624;35726;45.03s;35726;35726;0;0.0;59;0.968671
59;QPLIB_5909.qs;250;0.048624;35726;45.61s;35726;35726;0;0.0;60;0.910387
60;QPLIB_5909.qs;250;0.048624;35726;45.45s;35726;35726;0;0.0;61;0.651425
61;QPLIB_5909.qs;250;0.048624;35726;44.16s;35726;35726;0;0.0;62;0.657218
62;QPLIB_5909.qs;250;0.048624;35726;45.03s;35726;35726;0;0.0;63;0.658726
63;QPLIB_5909.qs;250;0.048624;35726;45.68s;35726;35726;0;0.0;64;0.79602
64;QPLIB_5909.qs;250;0.048624;35726;43.89s;35726;35726;0;0.0;65;0.837187
65;QPLIB_5909.qs;250;0.048624;35726;43.55s;35726;35726;0;0.0;66;0.753363
66;QPLIB_5909.qs;250;0.048624;35726;45.03s;35726;35726;0;0.0;67;0.623474
67;QPLIB_5909.qs;250;0.048624;35726;44.90s;35726;35726;0;0.0;68;0.768788
68;QPLIB_5909.qs;250;0.048624;35726;45.37s;35726;35726;0;0.0;69;0.852817
69;QPLIB_5909.qs;250;0.048624;35726;43.95s;35726;35726;0;0.0;70;0.658542
70;QPLIB_5909.qs;250;0.048624;35726;43.19s;35726;35726;0;0.0;71;0.645806
71;QPLIB_5909.qs;250;0.048624;35726;44.61s;35726;35726;0;0.0;72;0.75821
