;Unnamed: 0;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
59;59;QPLIB_3693.qs;1128;0.00232241;1068;591.45s;1150;1150;82;0.6059687926071807;60;
60;60;QPLIB_3693.qs;1128;0.00232241;1060;585.29s;1150;1150;90;0.6665656718678987;61;
61;61;QPLIB_3693.qs;1128;0.00232241;1062;587.16s;1150;1150;88;0.6514164520527191;62;
62;62;QPLIB_3693.qs;1128;0.00232241;1072;587.56s;1150;1150;78;0.5756703529768217;63;
63;63;QPLIB_3693.qs;1128;0.00232241;1074;595.05s;1150;1150;76;0.5605211331616422;64;
64;64;QPLIB_3693.qs;1128;0.00232241;1066;596.38s;1150;1150;84;0.6211180124223602;65;
65;65;QPLIB_3693.qs;1128;0.00232241;1068;595.28s;1150;1150;82;0.6059687926071807;66;
66;66;QPLIB_3693.qs;1128;0.00232241;1078;587.66s;1150;1150;72;0.5302226935312832;67;
67;67;QPLIB_3693.qs;1128;0.00232241;1054;596.45s;1150;1150;96;0.7120133313134372;68;
68;68;QPLIB_3693.qs;1128;0.00232241;1074;587.19s;1150;1150;76;0.5605211331616422;69;
69;69;QPLIB_3693.qs;1128;0.00232241;1062;597.88s;1150;1150;88;0.6514164520527191;70;
70;70;QPLIB_3693.qs;1128;0.00232241;1066;598.92s;1150;1150;84;0.6211180124223602;71;
71;71;QPLIB_3693.qs;1128;0.00232241;1058;596.51s;1150;1150;92;0.6817148916830783;72;
72;72;QPLIB_3693.qs;1128;0.00232241;1068;591.24s;1150;1150;82;0.6059687926071807;73;
73;73;QPLIB_3693.qs;1128;0.00232241;1076;589.38s;1150;1150;74;0.5453719133464626;74;
74;74;QPLIB_3693.qs;1128;0.00232241;1070;598.95s;1150;1150;80;0.5908195727920013;75;
75;75;QPLIB_3693.qs;1128;0.00232241;1058;590.33s;1150;1150;92;0.6817148916830783;76;
76;76;QPLIB_3693.qs;1128;0.00232241;1062;597.17s;1150;1150;88;0.6514164520527191;77;
77;77;QPLIB_3693.qs;1128;0.00232241;1054;591.42s;1150;1150;96;0.7120133313134372;78;
78;78;QPLIB_3693.qs;1128;0.00232241;1066;599.78s;1150;1150;84;0.6211180124223602;79;
79;79;QPLIB_3693.qs;1128;0.00232241;1060;595.46s;1150;1150;90;0.6665656718678987;80;
80;80;QPLIB_3693.qs;1128;0.00232241;1066;599.00s;1150;1150;84;0.6211180124223602;81;
81;81;QPLIB_3693.qs;1128;0.00232241;1062;588.38s;1150;1150;88;0.6514164520527191;82;
82;82;QPLIB_3693.qs;1128;0.00232241;1054;588.97s;1150;1150;96;0.7120133313134372;83;
83;83;QPLIB_3693.qs;1128;0.00232241;1052;590.84s;1150;1150;98;0.7271625511286169;84;
84;84;QPLIB_3693.qs;1128;0.00232241;1068;589.87s;1150;1150;82;0.6059687926071807;85;
85;85;QPLIB_3693.qs;1128;0.00232241;1062;590.28s;1150;1150;88;0.6514164520527191;86;
86;86;QPLIB_3693.qs;1128;0.00232241;1064;597.63s;1150;1150;86;0.6362672322375397;87;
87;87;QPLIB_3693.qs;1128;0.00232241;1086;598.98s;1150;1150;64;0.4696258142705651;88;
88;88;QPLIB_3693.qs;1128;0.00232241;1072;591.75s;1150;1150;78;0.5756703529768217;89;
89;89;QPLIB_3693.qs;1128;0.00232241;1070;590.52s;1150;1150;80;0.5908195727920013;90;
90;90;QPLIB_3693.qs;1128;0.00232241;1076;592.53s;1150;1150;74;0.5453719133464626;91;
91;91;QPLIB_3693.qs;1128;0.00232241;1054;597.78s;1150;1150;96;0.7120133313134372;92;
92;92;QPLIB_3693.qs;1128;0.00232241;1060;590.33s;1150;1150;90;0.6665656718678987;93;
93;93;QPLIB_3693.qs;1128;0.00232241;1072;596.89s;1150;1150;78;0.5756703529768217;94;
94;94;QPLIB_3693.qs;1128;0.00232241;1062;591.99s;1150;1150;88;0.6514164520527191;95;
95;95;QPLIB_3693.qs;1128;0.00232241;1064;589.35s;1150;1150;86;0.6362672322375397;96;
96;96;QPLIB_3693.qs;1128;0.00232241;1066;598.95s;1150;1150;84;0.6211180124223602;97;
97;97;QPLIB_3693.qs;1128;0.00232241;1060;598.44s;1150;1150;90;0.6665656718678987;98;
98;98;QPLIB_3693.qs;1128;0.00232241;1064;598.84s;1150;1150;86;0.6362672322375397;99;
99;99;QPLIB_3693.qs;1128;0.00232241;1070;589.37s;1150;1150;80;0.5908195727920013;100;
