;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;MSTS;QPLIB_3838.qs;1;1;652.0;666.0;6.267872;6.267872;746.0
1;MSTS;QPLIB_3838.qs;1;2;674.0;674.0;5.229752;11.497624;746.0
2;MSTS;QPLIB_3838.qs;1;3;672.0;674.0;5.246517;16.744141;746.0
3;MSTS;QPLIB_3838.qs;1;4;696.0;696.0;5.273805;22.017946000000002;746.0
4;MSTS;QPLIB_3838.qs;1;5;690.0;696.0;5.275091;27.293036999999998;746.0
5;MSTS;QPLIB_3838.qs;1;6;686.0;696.0;5.268382;32.561419;746.0
6;MSTS;QPLIB_3838.qs;1;7;680.0;696.0;5.266844;37.828263;746.0
7;MSTS;QPLIB_3838.qs;1;8;678.0;696.0;5.672702;43.500965;746.0
8;MSTS;QPLIB_3838.qs;1;9;684.0;696.0;5.459273;48.960238;746.0
9;MSTS;QPLIB_3838.qs;1;10;688.0;696.0;5.536939;54.497177;746.0
10;MSTS;QPLIB_3838.qs;1;11;690.0;696.0;5.478428;59.975605;746.0
11;MSTS;QPLIB_3838.qs;1;12;690.0;696.0;5.748493;65.724098;746.0
12;MSTS;QPLIB_3838.qs;1;13;678.0;696.0;5.648848;71.372946;746.0
13;MSTS;QPLIB_3838.qs;1;14;674.0;696.0;5.473323;76.846269;746.0
14;MSTS;QPLIB_3838.qs;1;15;674.0;696.0;5.957919;82.804188;746.0
15;MSTS;QPLIB_3838.qs;1;16;688.0;696.0;6.131606;88.935794;746.0
16;MSTS;QPLIB_3838.qs;1;17;686.0;696.0;5.575256;94.51105;746.0
17;MSTS;QPLIB_3838.qs;1;18;688.0;696.0;5.436566;99.947616;746.0
18;MSTS;QPLIB_3838.qs;1;19;684.0;696.0;6.119465;106.067081;746.0
19;MSTS;QPLIB_3838.qs;1;20;676.0;696.0;5.436456;111.503537;746.0
20;MSTS;QPLIB_3838.qs;1;21;664.0;696.0;5.281425;116.784962;746.0
21;MSTS;QPLIB_3838.qs;1;22;668.0;696.0;5.314557;122.099519;746.0
22;MSTS;QPLIB_3838.qs;1;23;676.0;696.0;5.285817;127.385336;746.0
23;MSTS;QPLIB_3838.qs;1;24;672.0;696.0;5.91025;133.295586;746.0
24;MSTS;QPLIB_3838.qs;1;25;674.0;696.0;5.292523;138.588109;746.0
25;MSTS;QPLIB_3838.qs;1;26;684.0;696.0;5.331421;143.91953;746.0
26;MSTS;QPLIB_3838.qs;1;27;676.0;696.0;5.190426;149.109956;746.0
27;MSTS;QPLIB_3838.qs;1;28;664.0;696.0;5.15215;154.262106;746.0
28;MSTS;QPLIB_3838.qs;1;29;672.0;696.0;5.15887;159.420976;746.0
29;MSTS;QPLIB_3838.qs;1;30;678.0;696.0;5.259278;164.680254;746.0
30;MSTS;QPLIB_3838.qs;1;31;684.0;696.0;5.439315;170.119569;746.0
31;MSTS;QPLIB_3838.qs;1;32;678.0;696.0;5.215702;175.335271;746.0
32;MSTS;QPLIB_3838.qs;1;33;666.0;696.0;5.206617;180.541888;746.0
33;MSTS;QPLIB_3838.qs;1;34;684.0;696.0;5.357432;185.89932;746.0
34;MSTS;QPLIB_3838.qs;1;35;676.0;696.0;5.213342;191.112662;746.0
35;MSTS;QPLIB_3838.qs;1;36;672.0;696.0;5.205012;196.317674;746.0
36;MSTS;QPLIB_3838.qs;1;37;668.0;696.0;5.313934;201.631608;746.0
37;MSTS;QPLIB_3838.qs;1;38;670.0;696.0;5.23434;206.865948;746.0
