;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;QPLIB_5721.qs;300;0.3875;7409600;48.62s;8571649;8571649;1162049;13.55688969532;1;
1;QPLIB_5721.qs;300;0.3875;7355267;48.50s;8571649;8571649;1216382;14.190758394329958;2;
2;QPLIB_5721.qs;300;0.3875;7502982;48.51s;8571649;8571649;1068667;12.46746104512679;3;
3;QPLIB_5721.qs;300;0.3875;7502085;48.50s;8571649;8571649;1069564;12.477925776008794;4;
4;QPLIB_5721.qs;300;0.3875;7523951;48.71s;8571649;8571649;1047698;12.22282900291414;5;
5;QPLIB_5721.qs;300;0.3875;7608041;49.00s;8571649;8571649;963608;11.241804231601177;6;
6;QPLIB_5721.qs;300;0.3875;7502057;48.83s;8571649;8571649;1069592;12.478252434274898;7;
7;QPLIB_5721.qs;300;0.3875;7331216;48.97s;8571649;8571649;1240433;14.471346178547442;8;
8;QPLIB_5721.qs;300;0.3875;7238035;48.94s;8571649;8571649;1333614;15.558429889044687;9;
9;QPLIB_5721.qs;300;0.3875;7512520;48.79s;8571649;8571649;1059129;12.356187240051476;10;
10;QPLIB_5721.qs;300;0.3875;7535482;48.88s;8571649;8571649;1036167;12.088304129112146;11;
11;QPLIB_5721.qs;300;0.3875;7236545;48.64s;8571649;8571649;1335104;15.575812775348128;12;
12;QPLIB_5721.qs;300;0.3875;7459543;48.29s;8571649;8571649;1112106;12.974236345888638;13;
13;QPLIB_5721.qs;300;0.3875;7173462;48.14s;8571649;8571649;1398187;16.311762182515874;14;
14;QPLIB_5721.qs;300;0.3875;7678387;48.16s;8571649;8571649;893262;10.421122003479145;15;
15;QPLIB_5721.qs;300;0.3875;7695310;48.15s;8571649;8571649;876339;10.223692080718658;16;
16;QPLIB_5721.qs;300;0.3875;7681753;48.20s;8571649;8571649;889896;10.381853013346673;17;
17;QPLIB_5721.qs;300;0.3875;7479792;48.15s;8571649;8571649;1091857;12.738004087661544;18;
18;QPLIB_5721.qs;300;0.3875;7574388;48.19s;8571649;8571649;997261;11.634412468359354;19;
19;QPLIB_5721.qs;300;0.3875;7297368;48.80s;8571649;8571649;1274281;14.866229356801707;20;
20;QPLIB_5721.qs;300;0.3875;7405756;48.99s;8571649;8571649;1165893;13.60173520870955;21;
21;QPLIB_5721.qs;300;0.3875;7618252;49.13s;8571649;8571649;953397;11.1226789617727;22;
22;QPLIB_5721.qs;300;0.3875;7519551;49.05s;8571649;8571649;1052098;12.2741610161592;23;
23;QPLIB_5721.qs;300;0.3875;7611103;48.81s;8571649;8571649;960546;11.206081816929276;24;
24;QPLIB_5721.qs;300;0.3875;7612104;48.85s;8571649;8571649;959545;11.194403783916023;25;
25;QPLIB_5721.qs;300;0.3875;7353516;48.81s;8571649;8571649;1218133;14.211186202328163;26;
26;QPLIB_5721.qs;300;0.3875;7218809;48.71s;8571649;8571649;1352840;15.782727454192303;27;
27;QPLIB_5721.qs;300;0.3875;7399776;49.38s;8571649;8571649;1171873;13.671500081256244;28;
28;QPLIB_5721.qs;300;0.3875;7747936;48.67s;8571649;8571649;823713;9.609737869574454;29;
29;QPLIB_5721.qs;300;0.3875;7381611;48.09s;8571649;8571649;1190038;13.883419631391813;30;
30;QPLIB_5721.qs;300;0.3875;7658704;47.95s;8571649;8571649;912945;10.650751098184259;31;
31;QPLIB_5721.qs;300;0.3875;7746476;47.71s;8571649;8571649;825173;9.626770764878497;32;
32;QPLIB_5721.qs;300;0.3875;7387479;48.55s;8571649;8571649;1184170;13.814961391909538;33;
33;QPLIB_5721.qs;300;0.3875;7511513;47.88s;8571649;8571649;1060136;12.367935271264606;34;
34;QPLIB_5721.qs;300;0.3875;7504763;47.91s;8571649;8571649;1066886;12.446683246129187;35;
35;QPLIB_5721.qs;300;0.3875;7527464;47.91s;8571649;8571649;1044185;12.18184505688462;36;
36;QPLIB_5721.qs;300;0.3875;7507991;48.29s;8571649;8571649;1063658;12.409024214593948;37;
37;QPLIB_5721.qs;300;0.3875;7356503;48.92s;8571649;8571649;1215146;14.176338765154755;38;
38;QPLIB_5721.qs;300;0.3875;7468260;48.74s;8571649;8571649;1103389;12.872540627830187;39;
39;QPLIB_5721.qs;300;0.3875;7184203;48.82s;8571649;8571649;1387446;16.186453738364694;40;
40;QPLIB_5721.qs;300;0.3875;7469897;48.97s;8571649;8571649;1101752;12.853442785629696;41;
41;QPLIB_5721.qs;300;0.3875;7431540;47.26s;8571649;8571649;1140109;13.300929611093501;42;
42;QPLIB_5721.qs;300;0.3875;7631934;47.15s;8571649;8571649;939715;10.963059733313859;43;
43;QPLIB_5721.qs;300;0.3875;7454217;47.22s;8571649;8571649;1117432;13.036371414648453;44;
44;QPLIB_5721.qs;300;0.3875;7489717;47.20s;8571649;8571649;1081932;12.622215398693998;45;
45;QPLIB_5721.qs;300;0.3875;7576582;47.14s;8571649;8571649;995067;11.608816459936705;46;
46;QPLIB_5721.qs;300;0.3875;7329120;47.30s;8571649;8571649;1242529;14.495798883038724;47;
47;QPLIB_5721.qs;300;0.3875;7647749;47.12s;8571649;8571649;923900;10.77855614479781;48;
48;QPLIB_5721.qs;300;0.3875;7223173;47.10s;8571649;8571649;1348476;15.73181543014652;49;
49;QPLIB_5721.qs;300;0.3875;7703343;47.06s;8571649;8571649;868306;10.129976157446483;50;
50;QPLIB_5721.qs;300;0.3875;7890837;47.86s;8571649;8571649;680812;7.942602409408038;51;
51;QPLIB_5721.qs;300;0.3875;7309075;47.21s;8571649;8571649;1262574;14.72965120246991;52;
52;QPLIB_5721.qs;300;0.3875;7643181;47.42s;8571649;8571649;928468;10.831848107639498;53;
53;QPLIB_5721.qs;300;0.3875;7454086;47.42s;8571649;8571649;1117563;13.03789970867916;54;
54;QPLIB_5721.qs;300;0.3875;7544146;47.39s;8571649;8571649;1027503;11.987226728485965;55;
55;QPLIB_5721.qs;300;0.3875;7293738;47.32s;8571649;8571649;1277911;14.908578267728881;56;
56;QPLIB_5721.qs;300;0.3875;7353575;47.35s;8571649;8571649;1218074;14.210497886696013;57;
57;QPLIB_5721.qs;300;0.3875;7370593;47.24s;8571649;8571649;1201056;14.0119596591041;58;
58;QPLIB_5721.qs;300;0.3875;7419805;47.29s;8571649;8571649;1151844;13.437834423691402;59;
59;QPLIB_5721.qs;300;0.3875;7415424;47.25s;8571649;8571649;1156225;13.488944775970177;60;
60;QPLIB_5721.qs;300;0.3875;7424436;47.42s;8571649;8571649;1147213;13.383807479750978;61;
61;QPLIB_5721.qs;300;0.3875;7122901;47.35s;8571649;8571649;1448748;16.90162534653484;62;
62;QPLIB_5721.qs;300;0.3875;7572852;47.44s;8571649;8571649;998797;11.65233200752854;63;
63;QPLIB_5721.qs;300;0.3875;7526334;47.29s;8571649;8571649;1045315;12.195028051195283;64;
64;QPLIB_5721.qs;300;0.3875;7500424;47.36s;8571649;8571649;1071225;12.497303611008803;65;
65;QPLIB_5721.qs;300;0.3875;7359606;47.21s;8571649;8571649;1212043;14.140138029450341;66;
66;QPLIB_5721.qs;300;0.3875;7430324;47.22s;8571649;8571649;1141325;13.31511591293577;67;
67;QPLIB_5721.qs;300;0.3875;7559726;47.47s;8571649;8571649;1011923;11.805464736131869;68;
68;QPLIB_5721.qs;300;0.3875;7631446;47.37s;8571649;8571649;940203;10.968752920237401;69;
69;QPLIB_5721.qs;300;0.3875;7471356;47.39s;8571649;8571649;1100293;12.8364215566923;70;
70;QPLIB_5721.qs;300;0.3875;7456373;47.37s;8571649;8571649;1115276;13.011218728158374;71;
71;QPLIB_5721.qs;300;0.3875;7639215;47.27s;8571649;8571649;932434;10.878116917759932;72;
72;QPLIB_5721.qs;300;0.3875;7552634;47.27s;8571649;8571649;1019015;11.888202608389587;73;
