;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;DTSS;QPLIB_3745.qs;1;1;330.0;330.0;0.396861;0.396861;334.0
1;DTSS;QPLIB_3745.qs;1;2;330.0;330.0;0.241879;0.6387400000000001;334.0
2;DTSS;QPLIB_3745.qs;1;3;330.0;330.0;0.25051;0.8892500000000001;334.0
3;DTSS;QPLIB_3745.qs;1;4;330.0;330.0;0.25338;1.14263;334.0
4;DTSS;QPLIB_3745.qs;1;5;330.0;330.0;0.2444;1.38703;334.0
5;DTSS;QPLIB_3745.qs;1;6;330.0;330.0;0.252601;1.639631;334.0
6;DTSS;QPLIB_3745.qs;1;7;330.0;330.0;0.255687;1.895318;334.0
7;DTSS;QPLIB_3745.qs;1;8;330.0;330.0;0.252734;2.148052;334.0
8;DTSS;QPLIB_3745.qs;1;9;330.0;330.0;0.246871;2.394923;334.0
9;DTSS;QPLIB_3745.qs;1;10;330.0;330.0;0.246373;2.641296;334.0
10;DTSS;QPLIB_3745.qs;1;11;330.0;330.0;0.247239;2.888535;334.0
11;DTSS;QPLIB_3745.qs;1;12;330.0;330.0;0.260697;3.149232;334.0
12;DTSS;QPLIB_3745.qs;1;13;330.0;330.0;0.254138;3.4033700000000002;334.0
13;DTSS;QPLIB_3745.qs;1;14;330.0;330.0;0.262936;3.666306;334.0
14;DTSS;QPLIB_3745.qs;1;15;330.0;330.0;0.265866;3.932172;334.0
15;DTSS;QPLIB_3745.qs;1;16;330.0;330.0;0.253944;4.186116;334.0
16;DTSS;QPLIB_3745.qs;1;17;330.0;330.0;0.250354;4.43647;334.0
17;DTSS;QPLIB_3745.qs;1;18;330.0;330.0;0.250709;4.687179;334.0
18;DTSS;QPLIB_3745.qs;1;19;330.0;330.0;0.25172;4.938899;334.0
19;DTSS;QPLIB_3745.qs;1;20;330.0;330.0;0.252973;5.191872;334.0
20;DTSS;QPLIB_3745.qs;1;21;330.0;330.0;0.251098;5.44297;334.0
21;DTSS;QPLIB_3745.qs;1;22;330.0;330.0;0.249134;5.6921040000000005;334.0
22;DTSS;QPLIB_3745.qs;1;23;330.0;330.0;0.260599;5.952703;334.0
23;DTSS;QPLIB_3745.qs;1;24;330.0;330.0;0.257428;6.2101310000000005;334.0
24;DTSS;QPLIB_3745.qs;1;25;330.0;330.0;0.253487;6.463618;334.0
25;DTSS;QPLIB_3745.qs;1;26;330.0;330.0;0.262667;6.726285;334.0
26;DTSS;QPLIB_3745.qs;1;27;330.0;330.0;0.264191;6.990476;334.0
27;DTSS;QPLIB_3745.qs;1;28;330.0;330.0;0.261158;7.251634;334.0
28;DTSS;QPLIB_3745.qs;1;29;330.0;330.0;0.250343;7.501977;334.0
29;DTSS;QPLIB_3745.qs;1;30;330.0;330.0;0.249282;7.751259;334.0
30;DTSS;QPLIB_3745.qs;1;31;330.0;330.0;0.267671;8.01893;334.0
