;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;QPLIB_3850.qs;1225;0.0020858;1088;586.24s;1190;1190;102;8.571428571428571;1;
1;QPLIB_3850.qs;1225;0.0020858;1080;582.64s;1190;1190;110;9.243697478991598;2;
2;QPLIB_3850.qs;1225;0.0020858;1086;597.42s;1190;1190;104;8.739495798319327;3;
3;QPLIB_3850.qs;1225;0.0020858;1100;596.85s;1190;1190;90;7.563025210084033;4;
4;QPLIB_3850.qs;1225;0.0020858;1082;599.25s;1190;1190;108;9.07563025210084;5;
5;QPLIB_3850.qs;1225;0.0020858;1090;597.11s;1190;1190;100;8.403361344537815;6;
6;QPLIB_3850.qs;1225;0.0020858;1092;579.84s;1190;1190;98;8.235294117647058;7;
7;QPLIB_3850.qs;1225;0.0020858;1108;596.39s;1190;1190;82;6.890756302521009;8;
8;QPLIB_3850.qs;1225;0.0020858;1108;598.76s;1190;1190;82;6.890756302521009;9;
9;QPLIB_3850.qs;1225;0.0020858;1078;597.47s;1190;1190;112;9.411764705882353;10;
10;QPLIB_3850.qs;1225;0.0020858;1112;585.73s;1190;1190;78;6.5546218487394965;11;
11;QPLIB_3850.qs;1225;0.0020858;1114;584.04s;1190;1190;76;6.386554621848739;12;
12;QPLIB_3850.qs;1225;0.0020858;1086;586.45s;1190;1190;104;8.739495798319327;13;
13;QPLIB_3850.qs;1225;0.0020858;1108;586.54s;1190;1190;82;6.890756302521009;14;
14;QPLIB_3850.qs;1225;0.0020858;1076;585.19s;1190;1190;114;9.57983193277311;15;
15;QPLIB_3850.qs;1225;0.0020858;1090;580.62s;1190;1190;100;8.403361344537815;16;
16;QPLIB_3850.qs;1225;0.0020858;1114;580.31s;1190;1190;76;6.386554621848739;17;
17;QPLIB_3850.qs;1225;0.0020858;1094;584.55s;1190;1190;96;8.067226890756302;18;
18;QPLIB_3850.qs;1225;0.0020858;1086;598.83s;1190;1190;104;8.739495798319327;19;
19;QPLIB_3850.qs;1225;0.0020858;1100;596.47s;1190;1190;90;7.563025210084033;20;
20;QPLIB_3850.qs;1225;0.0020858;1084;595.89s;1190;1190;106;8.907563025210084;21;
21;QPLIB_3850.qs;1225;0.0020858;1094;598.94s;1190;1190;96;8.067226890756302;22;
22;QPLIB_3850.qs;1225;0.0020858;1118;589.16s;1190;1190;72;6.050420168067227;23;
23;QPLIB_3850.qs;1225;0.0020858;1092;592.45s;1190;1190;98;8.235294117647058;24;
24;QPLIB_3850.qs;1225;0.0020858;1108;597.37s;1190;1190;82;6.890756302521009;25;
25;QPLIB_3850.qs;1225;0.0020858;1088;595.32s;1190;1190;102;8.571428571428571;26;
26;QPLIB_3850.qs;1225;0.0020858;1082;594.20s;1190;1190;108;9.07563025210084;27;
27;QPLIB_3850.qs;1225;0.0020858;1094;594.66s;1190;1190;96;8.067226890756302;28;
28;QPLIB_3850.qs;1225;0.0020858;1084;597.27s;1190;1190;106;8.907563025210084;29;
29;QPLIB_3850.qs;1225;0.0020858;1096;596.95s;1190;1190;94;7.899159663865546;30;
30;QPLIB_3850.qs;1225;0.0020858;1092;596.96s;1190;1190;98;8.235294117647058;31;
31;QPLIB_3850.qs;1225;0.0020858;1096;598.81s;1190;1190;94;7.899159663865546;32;
32;QPLIB_3850.qs;1225;0.0020858;1094;595.53s;1190;1190;96;8.067226890756302;33;
33;QPLIB_3850.qs;1225;0.0020858;1096;581.99s;1190;1190;94;7.899159663865546;34;
34;QPLIB_3850.qs;1225;0.0020858;1110;598.05s;1190;1190;80;6.722689075630252;35;
35;QPLIB_3850.qs;1225;0.0020858;1096;595.71s;1190;1190;94;7.899159663865546;36;
36;QPLIB_3850.qs;1225;0.0020858;1084;594.04s;1190;1190;106;8.907563025210084;37;
37;QPLIB_3850.qs;1225;0.0020858;1086;599.47s;1190;1190;104;8.739495798319327;38;
38;QPLIB_3850.qs;1225;0.0020858;1102;593.89s;1190;1190;88;7.394957983193278;39;
39;QPLIB_3850.qs;1225;0.0020858;1102;593.59s;1190;1190;88;7.394957983193278;40;
40;QPLIB_3850.qs;1225;0.0020858;1102;595.99s;1190;1190;88;7.394957983193278;41;
41;QPLIB_3850.qs;1225;0.0020858;1100;593.21s;1190;1190;90;7.563025210084033;42;
42;QPLIB_3850.qs;1225;0.0020858;1094;600.97s;1190;1190;96;8.067226890756302;43;
43;QPLIB_3850.qs;1225;0.0020858;1094;580.63s;1190;1190;96;8.067226890756302;44;
44;QPLIB_3850.qs;1225;0.0020858;1090;579.22s;1190;1190;100;8.403361344537815;45;
45;QPLIB_3850.qs;1225;0.0020858;1116;586.35s;1190;1190;74;6.218487394957983;46;
46;QPLIB_3850.qs;1225;0.0020858;1100;580.20s;1190;1190;90;7.563025210084033;47;
47;QPLIB_3850.qs;1225;0.0020858;1082;583.24s;1190;1190;108;9.07563025210084;48;
48;QPLIB_3850.qs;1225;0.0020858;1064;585.55s;1190;1190;126;10.588235294117647;49;
49;QPLIB_3850.qs;1225;0.0020858;1090;582.37s;1190;1190;100;8.403361344537815;50;
50;QPLIB_3850.qs;1225;0.0020858;1078;582.55s;1190;1190;112;9.411764705882353;51;
51;QPLIB_3850.qs;1225;0.0020858;1076;582.81s;1190;1190;114;9.57983193277311;52;
52;QPLIB_3850.qs;1225;0.0020858;1096;585.66s;1190;1190;94;7.899159663865546;53;
53;QPLIB_3850.qs;1225;0.0020858;1094;580.19s;1190;1190;96;8.067226890756302;54;
54;QPLIB_3850.qs;1225;0.0020858;1072;581.90s;1190;1190;118;9.915966386554622;55;
55;QPLIB_3850.qs;1225;0.0020858;1086;583.11s;1190;1190;104;8.739495798319327;56;
56;QPLIB_3850.qs;1225;0.0020858;1086;583.20s;1190;1190;104;8.739495798319327;57;
57;QPLIB_3850.qs;1225;0.0020858;1096;588.81s;1190;1190;94;7.899159663865546;58;
58;QPLIB_3850.qs;1225;0.0020858;1088;583.31s;1190;1190;102;8.571428571428571;59;
59;QPLIB_3850.qs;1225;0.0020858;1108;586.91s;1190;1190;82;6.890756302521009;60;
60;QPLIB_3850.qs;1225;0.0020858;1100;585.49s;1190;1190;90;7.563025210084033;61;
61;QPLIB_3850.qs;1225;0.0020858;1094;586.50s;1190;1190;96;8.067226890756302;62;
62;QPLIB_3850.qs;1225;0.0020858;1064;593.49s;1190;1190;126;10.588235294117647;63;
63;QPLIB_3850.qs;1225;0.0020858;1104;582.01s;1190;1190;86;7.226890756302522;64;
64;QPLIB_3850.qs;1225;0.0020858;1104;595.27s;1190;1190;86;7.226890756302522;65;
65;QPLIB_3850.qs;1225;0.0020858;1102;598.41s;1190;1190;88;7.394957983193278;66;
66;QPLIB_3850.qs;1225;0.0020858;1104;593.54s;1190;1190;86;7.226890756302522;67;
67;QPLIB_3850.qs;1225;0.0020858;1076;597.28s;1190;1190;114;9.57983193277311;68;
68;QPLIB_3850.qs;1225;0.0020858;1106;595.04s;1190;1190;84;7.0588235294117645;69;
69;QPLIB_3850.qs;1225;0.0020858;1106;581.36s;1190;1190;84;7.0588235294117645;70;
