;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;QPLIB_3706.qs;703;0.00364623;668;217.71s;682;682;14;2.0527859237536656;1;
1;QPLIB_3706.qs;703;0.00364623;666;109.47s;682;682;16;2.346041055718475;2;
2;QPLIB_3706.qs;703;0.00364623;674;212.31s;682;682;8;1.1730205278592376;3;
3;QPLIB_3706.qs;703;0.00364623;668;93.13s;682;682;14;2.0527859237536656;4;
4;QPLIB_3706.qs;703;0.00364623;666;128.95s;682;682;16;2.346041055718475;5;
5;QPLIB_3706.qs;703;0.00364623;670;167.08s;682;682;12;1.7595307917888565;6;
6;QPLIB_3706.qs;703;0.00364623;678;200.32s;682;682;4;0.5865102639296188;7;
7;QPLIB_3706.qs;703;0.00364623;676;206.19s;682;682;6;0.8797653958944283;8;
8;QPLIB_3706.qs;703;0.00364623;668;173.50s;682;682;14;2.0527859237536656;9;
9;QPLIB_3706.qs;703;0.00364623;668;124.85s;682;682;14;2.0527859237536656;10;
10;QPLIB_3706.qs;703;0.00364623;662;105.86s;682;682;20;2.932551319648094;11;
11;QPLIB_3706.qs;703;0.00364623;674;121.51s;682;682;8;1.1730205278592376;12;
12;QPLIB_3706.qs;703;0.00364623;672;220.02s;682;682;10;1.466275659824047;13;
13;QPLIB_3706.qs;703;0.00364623;654;88.76s;682;682;28;4.105571847507331;14;
14;QPLIB_3706.qs;703;0.00364623;662;96.55s;682;682;20;2.932551319648094;15;
15;QPLIB_3706.qs;703;0.00364623;682;301.95s;682;682;0;0.0;16;230.904801
16;QPLIB_3706.qs;703;0.00364623;668;126.61s;682;682;14;2.0527859237536656;17;
17;QPLIB_3706.qs;703;0.00364623;674;218.49s;682;682;8;1.1730205278592376;18;
18;QPLIB_3706.qs;703;0.00364623;672;120.06s;682;682;10;1.466275659824047;19;
19;QPLIB_3706.qs;703;0.00364623;674;165.01s;682;682;8;1.1730205278592376;20;
20;QPLIB_3706.qs;703;0.00364623;670;107.36s;682;682;12;1.7595307917888565;21;
21;QPLIB_3706.qs;703;0.00364623;672;216.85s;682;682;10;1.466275659824047;22;
22;QPLIB_3706.qs;703;0.00364623;664;180.93s;682;682;18;2.6392961876832843;23;
23;QPLIB_3706.qs;703;0.00364623;670;175.73s;682;682;12;1.7595307917888565;24;
24;QPLIB_3706.qs;703;0.00364623;670;209.47s;682;682;12;1.7595307917888565;25;
25;QPLIB_3706.qs;703;0.00364623;666;156.74s;682;682;16;2.346041055718475;26;
26;QPLIB_3706.qs;703;0.00364623;676;161.49s;682;682;6;0.8797653958944283;27;
27;QPLIB_3706.qs;703;0.00364623;674;127.79s;682;682;8;1.1730205278592376;28;
28;QPLIB_3706.qs;703;0.00364623;660;90.11s;682;682;22;3.225806451612903;29;
29;QPLIB_3706.qs;703;0.00364623;670;185.59s;682;682;12;1.7595307917888565;30;
30;QPLIB_3706.qs;703;0.00364623;672;137.06s;682;682;10;1.466275659824047;31;
31;QPLIB_3706.qs;703;0.00364623;668;166.56s;682;682;14;2.0527859237536656;32;
32;QPLIB_3706.qs;703;0.00364623;656;79.99s;682;682;26;3.812316715542522;33;
33;QPLIB_3706.qs;703;0.00364623;670;117.66s;682;682;12;1.7595307917888565;34;
34;QPLIB_3706.qs;703;0.00364623;670;218.23s;682;682;12;1.7595307917888565;35;
35;QPLIB_3706.qs;703;0.00364623;674;173.64s;682;682;8;1.1730205278592376;36;
36;QPLIB_3706.qs;703;0.00364623;672;201.19s;682;682;10;1.466275659824047;37;
37;QPLIB_3706.qs;703;0.00364623;670;135.66s;682;682;12;1.7595307917888565;38;
38;QPLIB_3706.qs;703;0.00364623;660;142.37s;682;682;22;3.225806451612903;39;
39;QPLIB_3706.qs;703;0.00364623;670;144.82s;682;682;12;1.7595307917888565;40;
40;QPLIB_3706.qs;703;0.00364623;666;144.07s;682;682;16;2.346041055718475;41;
41;QPLIB_3706.qs;703;0.00364623;672;119.91s;682;682;10;1.466275659824047;42;
42;QPLIB_3706.qs;703;0.00364623;670;98.00s;682;682;12;1.7595307917888565;43;
43;QPLIB_3706.qs;703;0.00364623;680;279.71s;682;682;2;0.2932551319648094;44;
44;QPLIB_3706.qs;703;0.00364623;672;171.01s;682;682;10;1.466275659824047;45;
45;QPLIB_3706.qs;703;0.00364623;670;144.90s;682;682;12;1.7595307917888565;46;
46;QPLIB_3706.qs;703;0.00364623;664;124.03s;682;682;18;2.6392961876832843;47;
47;QPLIB_3706.qs;703;0.00364623;670;143.08s;682;682;12;1.7595307917888565;48;
48;QPLIB_3706.qs;703;0.00364623;678;149.31s;682;682;4;0.5865102639296188;49;
49;QPLIB_3706.qs;703;0.00364623;668;280.69s;682;682;14;2.0527859237536656;50;
50;QPLIB_3706.qs;703;0.00364623;680;315.01s;682;682;2;0.2932551319648094;51;
51;QPLIB_3706.qs;703;0.00364623;680;149.23s;682;682;2;0.2932551319648094;52;
52;QPLIB_3706.qs;703;0.00364623;680;274.00s;682;682;2;0.2932551319648094;53;
53;QPLIB_3706.qs;703;0.00364623;674;202.72s;682;682;8;1.1730205278592376;54;
54;QPLIB_3706.qs;703;0.00364623;664;96.50s;682;682;18;2.6392961876832843;55;
55;QPLIB_3706.qs;703;0.00364623;674;223.68s;682;682;8;1.1730205278592376;56;
56;QPLIB_3706.qs;703;0.00364623;674;157.95s;682;682;8;1.1730205278592376;57;
57;QPLIB_3706.qs;703;0.00364623;680;196.94s;682;682;2;0.2932551319648094;58;
58;QPLIB_3706.qs;703;0.00364623;666;93.12s;682;682;16;2.346041055718475;59;
59;QPLIB_3706.qs;703;0.00364623;658;96.96s;682;682;24;3.519061583577713;60;
60;QPLIB_3706.qs;703;0.00364623;672;213.14s;682;682;10;1.466275659824047;61;
61;QPLIB_3706.qs;703;0.00364623;680;162.45s;682;682;2;0.2932551319648094;62;
62;QPLIB_3706.qs;703;0.00364623;668;131.45s;682;682;14;2.0527859237536656;63;
63;QPLIB_3706.qs;703;0.00364623;670;134.41s;682;682;12;1.7595307917888565;64;
64;QPLIB_3706.qs;703;0.00364623;678;190.27s;682;682;4;0.5865102639296188;65;
65;QPLIB_3706.qs;703;0.00364623;660;116.05s;682;682;22;3.225806451612903;66;
66;QPLIB_3706.qs;703;0.00364623;676;128.80s;682;682;6;0.8797653958944283;67;
67;QPLIB_3706.qs;703;0.00364623;668;233.43s;682;682;14;2.0527859237536656;68;
68;QPLIB_3706.qs;703;0.00364623;670;88.02s;682;682;12;1.7595307917888565;69;
69;QPLIB_3706.qs;703;0.00364623;664;96.56s;682;682;18;2.6392961876832843;70;
70;QPLIB_3706.qs;703;0.00364623;670;151.66s;682;682;12;1.7595307917888565;71;
71;QPLIB_3706.qs;703;0.00364623;676;275.12s;682;682;6;0.8797653958944283;72;
72;QPLIB_3706.qs;703;0.00364623;676;184.31s;682;682;6;0.8797653958944283;73;
73;QPLIB_3706.qs;703;0.00364623;672;234.79s;682;682;10;1.466275659824047;74;
74;QPLIB_3706.qs;703;0.00364623;658;118.62s;682;682;24;3.519061583577713;75;
75;QPLIB_3706.qs;703;0.00364623;666;154.33s;682;682;16;2.346041055718475;76;
76;QPLIB_3706.qs;703;0.00364623;672;109.12s;682;682;10;1.466275659824047;77;
77;QPLIB_3706.qs;703;0.00364623;676;228.68s;682;682;6;0.8797653958944283;78;
78;QPLIB_3706.qs;703;0.00364623;666;185.85s;682;682;16;2.346041055718475;79;
79;QPLIB_3706.qs;703;0.00364623;670;251.92s;682;682;12;1.7595307917888565;80;
80;QPLIB_3706.qs;703;0.00364623;668;192.02s;682;682;14;2.0527859237536656;81;
81;QPLIB_3706.qs;703;0.00364623;672;166.93s;682;682;10;1.466275659824047;82;
82;QPLIB_3706.qs;703;0.00364623;672;300.82s;682;682;10;1.466275659824047;83;
83;QPLIB_3706.qs;703;0.00364623;666;151.87s;682;682;16;2.346041055718475;84;
84;QPLIB_3706.qs;703;0.00364623;676;199.02s;682;682;6;0.8797653958944283;85;
85;QPLIB_3706.qs;703;0.00364623;670;193.98s;682;682;12;1.7595307917888565;86;
