;Unnamed: 0;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
59;59;QPLIB_3693.qs;1128;0.00232241;1128;511.81s;1150;1150;22;0.15149219815179518;60;
60;60;QPLIB_3693.qs;1128;0.00232241;1118;308.58s;1150;1150;32;0.22723829722769276;61;
61;61;QPLIB_3693.qs;1128;0.00232241;1112;183.67s;1150;1150;38;0.2726859566732313;62;
62;62;QPLIB_3693.qs;1128;0.00232241;1116;200.57s;1150;1150;34;0.24238751704287234;63;
63;63;QPLIB_3693.qs;1128;0.00232241;1120;226.15s;1150;1150;30;0.21208907741251323;64;
64;64;QPLIB_3693.qs;1128;0.00232241;1130;465.12s;1150;1150;20;0.13634297833661566;65;
65;65;QPLIB_3693.qs;1128;0.00232241;1110;315.53s;1150;1150;40;0.28783517648841084;66;
66;66;QPLIB_3693.qs;1128;0.00232241;1126;197.59s;1150;1150;24;0.16664141796697468;67;
67;67;QPLIB_3693.qs;1128;0.00232241;1122;277.42s;1150;1150;28;0.19693985759733373;68;
68;68;QPLIB_3693.qs;1128;0.00232241;1124;312.78s;1150;1150;26;0.18179063778215424;69;
69;69;QPLIB_3693.qs;1128;0.00232241;1128;363.05s;1150;1150;22;0.15149219815179518;70;
70;70;QPLIB_3693.qs;1128;0.00232241;1124;190.25s;1150;1150;26;0.18179063778215424;71;
71;71;QPLIB_3693.qs;1128;0.00232241;1120;230.01s;1150;1150;30;0.21208907741251323;72;
72;72;QPLIB_3693.qs;1128;0.00232241;1128;336.96s;1150;1150;22;0.15149219815179518;73;
73;73;QPLIB_3693.qs;1128;0.00232241;1118;193.00s;1150;1150;32;0.22723829722769276;74;
74;74;QPLIB_3693.qs;1128;0.00232241;1118;429.34s;1150;1150;32;0.22723829722769276;75;
75;75;QPLIB_3693.qs;1128;0.00232241;1134;304.67s;1150;1150;16;0.10604453870625662;76;
76;76;QPLIB_3693.qs;1128;0.00232241;1124;226.64s;1150;1150;26;0.18179063778215424;77;
77;77;QPLIB_3693.qs;1128;0.00232241;1128;340.54s;1150;1150;22;0.15149219815179518;78;
78;78;QPLIB_3693.qs;1128;0.00232241;1126;323.53s;1150;1150;24;0.16664141796697468;79;
79;79;QPLIB_3693.qs;1128;0.00232241;1112;240.47s;1150;1150;38;0.2726859566732313;80;
80;80;QPLIB_3693.qs;1128;0.00232241;1108;208.15s;1150;1150;42;0.30298439630359036;81;
81;81;QPLIB_3693.qs;1128;0.00232241;1120;238.82s;1150;1150;30;0.21208907741251323;82;
82;82;QPLIB_3693.qs;1128;0.00232241;1112;214.83s;1150;1150;38;0.2726859566732313;83;
83;83;QPLIB_3693.qs;1128;0.00232241;1122;370.36s;1150;1150;28;0.19693985759733373;84;
84;84;QPLIB_3693.qs;1128;0.00232241;1126;350.18s;1150;1150;24;0.16664141796697468;85;
85;85;QPLIB_3693.qs;1128;0.00232241;1116;330.80s;1150;1150;34;0.24238751704287234;86;
86;86;QPLIB_3693.qs;1128;0.00232241;1112;241.50s;1150;1150;38;0.2726859566732313;87;
87;87;QPLIB_3693.qs;1128;0.00232241;1122;435.47s;1150;1150;28;0.19693985759733373;88;
88;88;QPLIB_3693.qs;1128;0.00232241;1112;288.96s;1150;1150;38;0.2726859566732313;89;
89;89;QPLIB_3693.qs;1128;0.00232241;1124;270.57s;1150;1150;26;0.18179063778215424;90;
90;90;QPLIB_3693.qs;1128;0.00232241;1118;249.63s;1150;1150;32;0.22723829722769276;91;
91;91;QPLIB_3693.qs;1128;0.00232241;1122;395.74s;1150;1150;28;0.19693985759733373;92;
92;92;QPLIB_3693.qs;1128;0.00232241;1106;201.23s;1150;1150;44;0.3181336161187698;93;
93;93;QPLIB_3693.qs;1128;0.00232241;1124;176.66s;1150;1150;26;0.18179063778215424;94;
94;94;QPLIB_3693.qs;1128;0.00232241;1124;388.04s;1150;1150;26;0.18179063778215424;95;
95;95;QPLIB_3693.qs;1128;0.00232241;1136;333.52s;1150;1150;14;0.09089531889107712;96;
96;96;QPLIB_3693.qs;1128;0.00232241;1118;353.15s;1150;1150;32;0.22723829722769276;97;
97;97;QPLIB_3693.qs;1128;0.00232241;1132;360.85s;1150;1150;18;0.12119375852143616;98;
98;98;QPLIB_3693.qs;1128;0.00232241;1126;165.28s;1150;1150;24;0.16664141796697468;99;
99;99;QPLIB_3693.qs;1128;0.00232241;1122;467.72s;1150;1150;28;0.19693985759733373;100;
