;Unnamed: 0;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
59;59;QPLIB_3693.qs;1128;0.00232241;1140;575.49s;1150;1150;10;0.06059687926071808;60;
60;60;QPLIB_3693.qs;1128;0.00232241;1140;322.70s;1150;1150;10;0.06059687926071808;61;
61;61;QPLIB_3693.qs;1128;0.00232241;1140;314.72s;1150;1150;10;0.06059687926071808;62;
62;62;QPLIB_3693.qs;1128;0.00232241;1138;568.33s;1150;1150;12;0.07574609907589759;63;
63;63;QPLIB_3693.qs;1128;0.00232241;1144;564.22s;1150;1150;6;0.030298439630359032;64;
64;64;QPLIB_3693.qs;1128;0.00232241;1144;571.97s;1150;1150;6;0.030298439630359032;65;
65;65;QPLIB_3693.qs;1128;0.00232241;1138;549.94s;1150;1150;12;0.07574609907589759;66;
66;66;QPLIB_3693.qs;1128;0.00232241;1138;320.70s;1150;1150;12;0.07574609907589759;67;
67;67;QPLIB_3693.qs;1128;0.00232241;1150;514.70s;1150;1150;0;-0.015149219815179511;68;403.527904
68;68;QPLIB_3693.qs;1128;0.00232241;1140;552.37s;1150;1150;10;0.06059687926071808;69;
69;69;QPLIB_3693.qs;1128;0.00232241;1144;556.62s;1150;1150;6;0.030298439630359032;70;
70;70;QPLIB_3693.qs;1128;0.00232241;1138;525.31s;1150;1150;12;0.07574609907589759;71;
71;71;QPLIB_3693.qs;1128;0.00232241;1138;552.96s;1150;1150;12;0.07574609907589759;72;
72;72;QPLIB_3693.qs;1128;0.00232241;1138;560.16s;1150;1150;12;0.07574609907589759;73;
73;73;QPLIB_3693.qs;1128;0.00232241;1140;538.88s;1150;1150;10;0.06059687926071808;74;
74;74;QPLIB_3693.qs;1128;0.00232241;1138;560.17s;1150;1150;12;0.07574609907589759;75;
75;75;QPLIB_3693.qs;1128;0.00232241;1132;502.84s;1150;1150;18;0.12119375852143616;76;
76;76;QPLIB_3693.qs;1128;0.00232241;1140;583.26s;1150;1150;10;0.06059687926071808;77;
77;77;QPLIB_3693.qs;1128;0.00232241;1140;561.78s;1150;1150;10;0.06059687926071808;78;
78;78;QPLIB_3693.qs;1128;0.00232241;1140;558.28s;1150;1150;10;0.06059687926071808;79;
79;79;QPLIB_3693.qs;1128;0.00232241;1146;562.66s;1150;1150;4;0.015149219815179511;80;
80;80;QPLIB_3693.qs;1128;0.00232241;1134;540.72s;1150;1150;16;0.10604453870625662;81;
81;81;QPLIB_3693.qs;1128;0.00232241;1134;572.44s;1150;1150;16;0.10604453870625662;82;
82;82;QPLIB_3693.qs;1128;0.00232241;1142;527.35s;1150;1150;8;0.04544765944553856;83;
83;83;QPLIB_3693.qs;1128;0.00232241;1136;592.36s;1150;1150;14;0.09089531889107712;84;
84;84;QPLIB_3693.qs;1128;0.00232241;1128;324.74s;1150;1150;22;0.15149219815179518;85;
85;85;QPLIB_3693.qs;1128;0.00232241;1140;506.04s;1150;1150;10;0.06059687926071808;86;
86;86;QPLIB_3693.qs;1128;0.00232241;1144;527.45s;1150;1150;6;0.030298439630359032;87;
87;87;QPLIB_3693.qs;1128;0.00232241;1134;543.32s;1150;1150;16;0.10604453870625662;88;
88;88;QPLIB_3693.qs;1128;0.00232241;1138;547.52s;1150;1150;12;0.07574609907589759;89;
89;89;QPLIB_3693.qs;1128;0.00232241;1132;561.39s;1150;1150;18;0.12119375852143616;90;
90;90;QPLIB_3693.qs;1128;0.00232241;1146;547.33s;1150;1150;4;0.015149219815179511;91;
91;91;QPLIB_3693.qs;1128;0.00232241;1140;547.98s;1150;1150;10;0.06059687926071808;92;
92;92;QPLIB_3693.qs;1128;0.00232241;1136;529.17s;1150;1150;14;0.09089531889107712;93;
93;93;QPLIB_3693.qs;1128;0.00232241;1142;575.42s;1150;1150;8;0.04544765944553856;94;
94;94;QPLIB_3693.qs;1128;0.00232241;1138;550.35s;1150;1150;12;0.07574609907589759;95;
95;95;QPLIB_3693.qs;1128;0.00232241;1140;583.29s;1150;1150;10;0.06059687926071808;96;
96;96;QPLIB_3693.qs;1128;0.00232241;1144;563.25s;1150;1150;6;0.030298439630359032;97;
97;97;QPLIB_3693.qs;1128;0.00232241;1140;556.78s;1150;1150;10;0.06059687926071808;98;
98;98;QPLIB_3693.qs;1128;0.00232241;1136;548.86s;1150;1150;14;0.09089531889107712;99;
99;99;QPLIB_3693.qs;1128;0.00232241;1128;553.83s;1150;1150;22;0.15149219815179518;100;
