;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;DTSS;QPLIB_3852.qs;1;1;234.0;234.0;0.192975;0.192975;234.0
1;DTSS;QPLIB_3852.qs;1;2;234.0;234.0;0.168563;0.361538;234.0
2;DTSS;QPLIB_3852.qs;1;3;234.0;234.0;0.167654;0.529192;234.0
3;DTSS;QPLIB_3852.qs;1;4;234.0;234.0;0.169033;0.698225;234.0
4;DTSS;QPLIB_3852.qs;1;5;234.0;234.0;0.169162;0.867387;234.0
5;DTSS;QPLIB_3852.qs;1;6;234.0;234.0;0.181199;1.048586;234.0
6;DTSS;QPLIB_3852.qs;1;7;234.0;234.0;0.172055;1.220641;234.0
7;DTSS;QPLIB_3852.qs;1;8;234.0;234.0;0.17162;1.392261;234.0
8;DTSS;QPLIB_3852.qs;1;9;234.0;234.0;0.174482;1.566743;234.0
9;DTSS;QPLIB_3852.qs;1;10;234.0;234.0;0.177162;1.743905;234.0
10;DTSS;QPLIB_3852.qs;1;11;234.0;234.0;0.181137;1.925042;234.0
11;DTSS;QPLIB_3852.qs;1;12;234.0;234.0;0.177066;2.102108;234.0
12;DTSS;QPLIB_3852.qs;1;13;234.0;234.0;0.170991;2.273099;234.0
13;DTSS;QPLIB_3852.qs;1;14;234.0;234.0;0.168372;2.441471;234.0
14;DTSS;QPLIB_3852.qs;1;15;234.0;234.0;0.168064;2.609535;234.0
15;DTSS;QPLIB_3852.qs;1;16;234.0;234.0;0.176879;2.786414;234.0
16;DTSS;QPLIB_3852.qs;1;17;234.0;234.0;0.178887;2.965301;234.0
17;DTSS;QPLIB_3852.qs;1;18;234.0;234.0;0.181071;3.146372;234.0
18;DTSS;QPLIB_3852.qs;1;19;234.0;234.0;0.176629;3.323001;234.0
19;DTSS;QPLIB_3852.qs;1;20;234.0;234.0;0.180331;3.503332;234.0
20;DTSS;QPLIB_3852.qs;1;21;234.0;234.0;0.183625;3.686957;234.0
21;DTSS;QPLIB_3852.qs;1;22;234.0;234.0;0.182407;3.869364;234.0
22;DTSS;QPLIB_3852.qs;1;23;234.0;234.0;0.188655;4.058019;234.0
23;DTSS;QPLIB_3852.qs;1;24;234.0;234.0;0.177354;4.235373;234.0
